最大値 = 9.88,6.286
最小値 = 0.15,4.968
平均値 = 2.045,
単位 = N,mm
データ数 = 54,
記録レート = 0.5,
ファイル作成日時 = 2024/08/16 15:21:45,
コメント = ,
マーク点 ON = ---,---
マーク点 OFF = ---,---
しきい値 = ---,
1st ピーク荷重 = ---,---
2nd ピーク荷重 = ---,---
0.15,
0.15,
0.16,
0.17,
0.18,
0.19,
0.21,
0.22,
0.23,
0.25,
0.26,
0.28,
0.29,
0.31,
0.33,
0.35,
0.37,
0.39,
0.42,
0.45,
0.48,
0.52,
0.56,
0.61,
0.66,
0.72,
0.78,
0.85,
0.93,
1.01,
1.12,
1.23,
1.36,
1.48,
1.64,
1.79,
1.96,
2.15,
2.37,
2.61,
2.87,
3.15,
3.47,
3.81,
4.18,
4.6,
5.08,
5.58,
6.15,
6.78,
7.46,
8.21,
9.03,
9.88,
