Method: 100g-500g,,,,,,,,,,,,,,,,,,,,
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,43.25481996,40.25114177,36.01644718,31.85839051,28.62651826,25.62606488,22.63859421,20.19635722,17.77046434,15.92832296,14.37389268,12.8917258,11.79588299,11.03688464,10.57788961,10.39150945,10.45764092,10.76197023,11.29493523,20.30260278
P2,3.998162603,0.472364229,4.580741366,5.282864962,7.583951041,8.17214919,5.665749062,3.199095035,1.702152404,0.23706714,1.281673718,1.786207407,1.969233883,1.861126387,1.482707467,0.847355745,0.037618826,1.170098238,2.552638401,2.835945111
P3,5.728948318,12.42756488,16.91561277,20.93645231,23.44991079,25.41478384,27.1864038,28.15744798,29.40992155,30.34238872,31.1903674,32.51523528,33.55105205,34.55328454,35.75355531,37.14470581,38.72278919,40.48655651,42.43711228,28.75389965
P4,5.080355388,7.476897671,9.097662779,9.248934614,9.235678389,8.429230444,7.332736178,6.153231042,5.736611982,5.321135346,5.103617419,4.942648322,4.627711809,4.171081649,3.871937993,3.713793975,3.683637786,3.771156262,3.968171379,5.840327917
P5,32.11953853,29.19854956,30.44495919,30.44878499,31.39424562,32.76873494,34.64287066,35.63024718,36.05922119,35.66048596,34.70964226,34.20609684,33.64451734,33.45623499,33.60876545,34.07927718,34.85258321,35.91979016,37.27740513,33.69062897
P6,18.84424134,15.90228592,12.64815945,10.70627662,8.373994619,6.301984739,4.444811612,2.685898728,0.914321121,0.683072098,2.067496393,3.233054381,4.172707903,5.297274774,6.259244002,7.028919709,7.627479563,8.071767511,8.375236256,7.033590881
P7,24.57882131,21.67318281,16.59148649,13.20086535,9.789885411,7.392792163,4.776318063,3.012732294,0.842276879,1.475487168,2.946933465,4.278862115,5.803529872,7.471881257,8.838111152,9.940601845,10.80919832,11.46720919,11.93283,9.306473955
P8,11.59458486,12.68491774,10.29801869,8.840660247,7.501057631,5.977146053,4.704644662,3.42932115,2.584619562,1.303374565,0.40100158,0.39835055,1.263400872,2.050748814,2.611559983,2.969531183,3.14288866,3.145596667,2.98821993,4.625770705
P9,20.21922052,20.70117355,19.74811664,17.81605348,15.99816679,14.5657719,13.1365829,11.94388152,10.78920422,9.566846559,9.364229133,8.593939262,7.688431256,6.600659451,5.496125927,4.529946637,3.685085833,2.947589263,2.305908883,10.82615441
P10,42.78972857,36.24493624,30.02537731,24.51883112,18.95053141,14.86359711,10.77210696,6.885871443,3.553479192,0.411850891,2.494775844,5.064433368,7.370015588,9.608530103,11.50240452,13.10004053,14.43933137,15.55020965,16.45645987,14.97907953
