Sensor,MAE_FUJI Film,MAE_Weights,MSE_FUJI Film,MSE_Weights
1,530.023497986021,395.2951098172561,289718.2388220716,157859.82725594004
2,373.13467026313384,151.40001605194894,151453.28326147923,65700.72119778699
3,335.93383301942094,340.37017334636283,181822.34936726946,119143.3024293894
4,256.116520139661,131.06100217625365,67146.29443566939,30983.64776729284
5,1234.1600460972847,889.1441785087666,1553526.9559339664,1054799.6088047186
6,277.57063481241937,37.82479867330005,199589.08875134008,1932.577688074458
7,1976.8082239589712,720.4812391455107,10257884.407368097,1327796.3090070293
8,123.43531053885545,65.04959975927736,17276.103147794805,8066.976867273353
9,299.99685306945605,214.11063895564493,93789.57851228767,47923.286266015864
10,346.903638620597,195.21857763622117,135674.26514918104,77616.76304209026
11,495.03999532841954,493.76331117097106,719018.9035903811,737778.8498886018
12,803.4257115958666,552.7372772467331,1317842.5332627292,674278.4312796989
13,406.7182832122399,334.4934087544485,212262.9935906922,136891.90313730884
14,683.3300146349386,543.2555827861293,697575.6859705055,646130.361164988
15,458.14733384863393,344.22410022563986,469989.1768044374,313825.57371239754
16,265.48636576440447,191.9204870150967,148786.089747322,75584.95582295328
17,249.3014697757506,236.56066424423358,67945.601909877,60077.63595212519
18,87.88593792746674,59.14626294265745,16688.6422910639,4384.5098625333285
19,664.8655436144254,667.3151802494946,1103103.2287757904,1156683.390493675
20,403.7608681907006,331.2072055021516,197728.47870188797,225617.76502187637
21,154.16182080366042,189.92464566920654,79042.81212273233,82035.76672209248
22,76.90658967618458,71.72088863159286,10617.582587827193,20913.521044786983
23,466.13613243286784,292.87834581023327,243653.78353181487,92086.57498287859
24,462.5345681371717,325.1700735739993,229222.52501967945,110973.54087558661
25,266.77953524598036,173.85360680867234,80837.10511551096,49803.21918852215
