Sensor,k,alpha
1,3625.0994563006752,-0.32492675970891804
2,7631.853720567072,-0.47097491361163857
3,1916.2236962264335,-0.32838229428226173
4,2904.6375332692546,-0.2808720620862788
5,4450.1579264052425,-0.43166298720185226
6,2232.554753349055,-0.31266599199658385
7,6286.632148450062,-0.4253063663712877
8,3790.754222541766,-0.34769061075870294
9,3056.8600758287857,-0.22917022815661595
10,2810.108966363296,-0.428420524474249
11,2620.248761244586,-0.33757473924318526
12,5107.856502173047,-0.32406419335416015
13,3726.0617412759016,-0.27648565572569433
14,4186.633101639899,-0.4557811531447313
15,3037.163595015378,-0.31377034709463614
16,3005.6680771377937,-0.20207079518155432
17,3663.4243800708896,-0.37428654594876987
18,2676.297189118871,-0.3173566685215424
19,5052.018581868779,-0.32620671757842656
20,5442.79445186367,-0.4483508879132441
21,3685.0999136026912,-0.29780614558242996
22,3353.545584145659,-0.4037907420845315
23,3674.64102556177,-0.33073925217546957
24,3419.372920930277,-0.3685861292030951
25,4344.0800909169475,-0.3096075160781376
