,100g-500g(new),,200g-500g(new),,100g-1kg,,200g-1kg,,True Value,
Sensor,k,alpha,k,alpha,k,alpha,k,alpha,k,alpha
P1,5352.062537,-0.441775116,4881.941194,-0.384276659,5348.297849,-0.363239792,4595.592874,-0.297009771,3625.099456,-0.32492676
P2,7413.394716,-0.418604047,5940.12707,-0.280042303,7406.319621,-0.312036003,5572.551365,-0.187819979,7631.853721,-0.470974914
P3,2052.200491,-0.350407731,1863.590142,-0.290114539,2051.494675,-0.312014828,1826.864084,-0.261378504,1916.223696,-0.328382294
P4,3124.158675,-0.308019647,3383.918845,-0.35796978,3122.313471,-0.2420804,3123.163128,-0.242199205,2904.637533,-0.280872062
P5,5742.066604,-0.511097595,5127.293827,-0.440276863,5737.084029,-0.414207677,4758.685324,-0.332564626,4450.157926,-0.431662987
P6,2707.510119,-0.404530866,2253.997133,-0.28988034,2705.539911,-0.323284395,2152.664655,-0.223470335,2232.554753,-0.312665992
P7,8017.402384,-0.627192839,6598.633871,-0.505395557,8006.537001,-0.475833117,5892.373268,-0.341959086,6286.632148,-0.425306366
P8,4337.720635,-0.445518932,3270.599748,-0.268921962,4335.507259,-0.388553821,3259.440165,-0.263987378,3790.754223,-0.347690611
P9,3766.937217,-0.252436123,3004.606027,-0.111023898,3767.903022,-0.281048233,3224.654571,-0.213066317,3056.860076,-0.229170228
P10,4166.155656,-0.635943551,3004.435184,-0.431498587,4162.434236,-0.53620302,2894.202447,-0.377531691,2810.108966,-0.428420524
P11,2779.051194,-0.387689992,2852.332651,-0.403967559,2776.585916,-0.288637195,2573.556352,-0.255481551,2620.248761,-0.337574739
P12,6572.177323,-0.457929195,5550.555573,-0.352270093,6566.087896,-0.354469074,5171.867417,-0.250249591,5107.856502,-0.324064193
P13,5030.715407,-0.313006481,3827.665436,-0.142080928,5030.110189,-0.299578448,3975.691486,-0.196861527,3726.061741,-0.276485656
P14,5454.440895,-0.600333545,3517.203629,-0.325931788,5449.321007,-0.495519707,3442.623472,-0.294988998,4186.633102,-0.455781153
P15,3969.546259,-0.383698251,2953.506117,-0.198794013,3969.650266,-0.386622545,3130.834195,-0.282973258,3037.163595,-0.313770347
P16,3254.83775,-0.24524781,3087.597763,-0.212258686,3253.922559,-0.213860923,3022.9588,-0.181713146,3005.668077,-0.202070795
P17,4988.258279,-0.559022735,3371.659136,-0.314065943,4983.396404,-0.450187103,3258.184975,-0.2646401,3663.42438,-0.374286546
P18,3312.362255,-0.405107296,2118.436089,-0.125565013,3311.148151,-0.364190469,2212.194214,-0.18808857,2676.297189,-0.317356669
P19,6926.013265,-0.387253329,4898.21841,-0.170607678,6926.78916,-0.399755916,5291.830841,-0.282198034,5052.018582,-0.326206718
P20,5395.233402,-0.440174337,4768.854044,-0.362994159,5394.522724,-0.425471673,4809.98656,-0.37539334,5442.794452,-0.448350888
P21,3429.956375,-0.249956995,3291.658793,-0.224218197,3427.772626,-0.178875458,3091.946119,-0.133853378,3685.099914,-0.297806146
P22,3532.172509,-0.398171203,2836.895491,-0.261082351,3529.975942,-0.328742012,2759.706434,-0.221255418,3353.545584,-0.403790742
P23,4443.618741,-0.387622832,4088.869607,-0.335589445,4442.119109,-0.349950203,4001.229277,-0.304308118,3674.641026,-0.330739252
P24,4187.238589,-0.433198618,3297.87367,-0.283876529,4183.541772,-0.33461687,3128.407795,-0.207714023,3419.372921,-0.368586129
P25,5317.811208,-0.378965076,5198.600406,-0.364785846,5314.863502,-0.317081379,4910.773756,-0.282553605,4344.080091,-0.309607516
