Sensor,k,alpha,Mean Fluctuation
1,3413.8304581763005,-0.28988813757002163,8.227202227023945
2,5460.385075770841,-0.2658362499395748,24.207875180462086
3,1820.1712619088992,-0.3067918876809134,16.31106363137114
4,2666.383372932856,-0.23763592652339294,12.366366074012536
5,4156.080760555862,-0.4090937118771529,24.976782622327253
6,2096.385972353156,-0.27751379435304385,11.475427246193371
7,6067.796647173761,-0.40075123699188153,170.55874389113052
8,3548.4060272471693,-0.31873829781915575,45.55926712864739
9,2885.0223728530077,-0.19377439052888767,24.148740230944888
10,2509.971661927705,-0.3560489753079024,38.43632150781931
11,2537.500934257324,-0.3232892881685355,20.236735824535657
12,4680.576232817362,-0.28206941609934294,75.95132957365715
13,3334.529751033556,-0.20805111412802602,64.55178974858859
14,3243.0091316365815,-0.32910683658669826,52.41568948788167
15,2962.2519021738467,-0.30304030058563225,21.06181018818022
16,2833.764080610296,-0.16835029111540417,19.792940929524864
17,3438.5050211888806,-0.346862424057644,22.034025151641988
18,2396.780193028564,-0.26431255420441024,19.905149062315708
19,4591.371062801212,-0.27157207416704926,61.226702070310445
20,4756.36667773247,-0.3740156683100376,53.347928715175115
21,3270.3964626046427,-0.23049481355409382,32.4384802374783
22,2745.5578782804437,-0.2674988460478264,16.998480479458983
23,3482.5128425232265,-0.301990981509042,41.57531970772952
24,3141.7616239510826,-0.3254486760417555,31.782033842601265
25,4030.974769026705,-0.25957896574358313,46.56367390132173
