Sensor,k,alpha,Mean Fluctuation
1,3238.6804845783436,-0.26228679745583994,3.7148549369365744
2,4820.229691536534,-0.19983258057553185,13.31136758524018
3,1816.6630112567912,-0.30573668748575245,12.996887973992221
4,2562.2441285163986,-0.21717539450808493,10.994877221809695
5,3713.891242545228,-0.3473660175371366,20.41953421070734
6,2018.5357975153845,-0.258404907773669,9.980688105250511
7,5865.867841861758,-0.38084315162088983,134.79424187647192
8,3391.275606120749,-0.2959094589275823,36.18843843411629
9,2733.7362825395517,-0.16591747196712586,16.903787458206523
10,2120.738180034546,-0.26593961631235263,28.98980349801713
11,2323.1589999372613,-0.2770342434250033,19.76565048592179
12,4250.581759131034,-0.2337701735051061,63.992949028305176
13,3062.286318789757,-0.16449383870640757,59.233061558670656
14,3019.885127599365,-0.2891326841194288,45.30653329888816
15,2742.161277494591,-0.2641986062463075,17.853596484033723
16,2713.751895309792,-0.14592301410058522,19.926531379194305
17,3406.0565165414623,-0.3401848340871381,18.795743312597327
18,2265.652229325148,-0.23411568692640075,15.005750928313185
19,4489.775246261098,-0.2588654368692269,66.56366352205517
20,4456.659213376606,-0.3372994083050515,42.34771704104267
21,3012.7252851666562,-0.18751505225333376,33.602723996719526
22,2347.803401118366,-0.18612002876829348,14.385038235370235
23,3269.8932684683778,-0.2692621990372602,41.9727251810353
24,2846.0990041603313,-0.27332698714428866,26.188334891221217
25,3722.0082623028893,-0.21668777175431578,40.99086679532471
