Sensor,k,alpha,Mean Fluctuation
1,7157.8158132536855,-0.19408730478394584,116.0122518274034
2,28889.32274334124,-0.6643651542401257,117.85948819472459
3,12333.056416882919,-0.3847851503637177,78.57533867928824
4,6506.627656851574,-0.33962660171585385,87.62306710139528
5,6722.6851754648,-0.2829251040825844,268.48126046668386
6,13292.834942084723,-0.33520413002206295,193.8139777305466
7,10744.6845239739,-0.3942858803595682,402.280186267264
8,5885.480358731914,-0.1454594908495993,26.47060046088927
9,5750.903118355118,-0.32771405023945777,41.950345008865845
10,8873.474368595955,-0.28322463075940274,286.2466285429757
11,9328.077607424286,-0.3406770652282173,396.97422516732297
12,11336.866609989902,-0.35505131214816044,332.88045603514314
13,10393.729724136641,-0.30186954817721023,184.62871183410888
14,11900.43422643706,-0.38129699754442736,157.07053050881453
15,12861.433399067511,-0.5470130476401784,144.16687946287507
16,11816.148703534696,-0.48189692741976636,28.776949082608585
17,11887.675205930289,-0.40868990815418454,74.67157792691171
18,7770.550989081134,-0.435820109153453,43.77882472452858
19,14692.607919971102,-0.3484707207224483,192.79890760021237
20,9824.07795594724,-0.2527312016640917,53.604051460898056
21,8363.036578828269,-0.4434830294683088,127.6323391327078
22,16690.351417905433,-0.43984874486101055,187.50685278046035
23,10373.81984879827,-0.08717386351878555,49.45306294888654
24,19011.953419987294,-0.3998816721500667,122.75902173468769
25,10154.159799505587,-0.29805072131551336,91.76177639096021
26,16913.775578816072,-0.5098780702826801,232.64901028459002
27,35812.48666672359,-0.5577458674669947,549.7706270757096
28,8109.727850278347,0.003478489063257968,87.98337140503882
29,5946.197031570307,-0.1326733433150769,81.34875414166541
30,37239.902777539195,-0.5942135181668282,190.05276830426806
31,6000.658728420623,-0.055622437592146,237.27549178551317
32,72825.3386751943,-0.6335185045500615,2194.094774756303
33,32535.565053672748,-0.4092309546195429,552.0394713900887
34,21373.778516716084,-0.40923771905866335,1374.0515454317456
35,11269.581426780775,-0.33870260002650054,153.0903057803085
