Sensor,k,alpha,Mean Fluctuation
1,7347.344718944361,-0.20883055581099788,138.9017037490812
2,33315.64263784705,-0.7398486902778943,170.79279815028622
3,46318.11084863338,-0.9658520440543261,169.90427417004415
4,7248.923941559678,-0.3883865049881005,188.68944618459597
5,7060.3970968377525,-0.3037592986200219,382.0209113528752
6,18753.194815880746,-0.48947980183474443,475.0747111384476
7,8510.040094495702,-0.2953775483233296,391.67513085869996
8,7629.5353125429965,-0.26175936783476816,97.79644658571777
9,5606.758131698003,-0.3184093492971853,46.13769997942711
10,8967.7103761874,-0.29611615409118464,328.1782994925736
11,9773.155547715085,-0.3687455358840437,436.4296117131989
12,10787.709493370305,-0.3357435723608357,352.24559754646407
13,9770.169305703708,-0.2748535222552459,208.3070705673424
14,11157.797102362258,-0.35725576455640184,198.80347566013558
15,12505.935661629492,-0.541421537670354,259.80118454879243
16,11295.217510947532,-0.46182423933226546,33.88871947633873
17,51117.4006056679,-1.0400451813747462,770.7547656429135
18,9963.537199118791,-0.5478195270506248,64.13450416210702
19,29560.154845194964,-0.6551406719485939,542.4849285602454
20,16536.862660337712,-0.48475374900003576,131.2952079006586
21,6311.3637476497815,-0.3194831122023835,122.61224982634818
22,21518.82922184221,-0.5494776334504511,525.1287807481262
23,16258.710557120878,-0.2817023071355733,325.9936284761297
24,47138.30729207333,-0.8041898636711651,387.23042654530536
25,26143.795560063816,-0.706433146487873,418.3998556801384
26,17472.27976993139,-0.5251610567000481,338.1322695788633
27,27982.080044734037,-0.4384456982621998,641.0919654730017
28,11399.443207715443,-0.1448150399911806,301.52044108901083
29,6783.970230056944,-0.1925616824893518,147.6725936998493
30,23731.15024892509,-0.40260173811277705,635.7113194870972
31,6842.988967018014,-0.12030858861462324,337.7875693864817
32,88966.51962249268,-0.7320768338255764,2918.7157121414084
33,32801.40851852346,-0.4125578114436012,1335.5439704172873
34,16488.66683370282,-0.2899553678376206,1400.9618101109718
35,13645.237509757919,-0.42169276269058753,364.84191961241476
