Sensor,k,alpha,Mean Fluctuation
1,6887.782348593753,-0.2848458533373048,15.2198796067087
2,20058.940041630434,-0.6114826888636011,40.88266161944231
3,29490.078967486224,-0.8143421862180905,48.194742545859754
4,6650.877676269062,-0.47334325772839153,16.5884136196241
5,5217.800388651242,-0.42118993298448765,36.87015894371222
6,9404.652493741334,-0.2841150717633608,46.73236683917049
7,6552.7750229042895,-0.36391747188115087,35.19879338167923
8,9193.009667404565,-0.361537077380891,16.198350695596506
9,7360.9924845708865,-0.6728869620552099,17.38656501005005
10,9252.434885221499,-0.4575451724665857,61.1163838859942
11,8517.048135466941,-0.2725165019732447,131.07660854881607
12,11092.96858422623,-0.5917684506687247,108.53876305879555
13,41862.35029770021,-0.9324654476337356,116.64807057424265
14,10935.516336909912,-0.4052143070236484,104.07986331811134
15,12556.925399683745,-0.5846200277373241,24.855384336893987
16,13620.14773858097,-0.48673901856412893,26.623165252182577
17,18964.211649469566,-0.8042955515980573,34.85645404671256
18,33967.6655496641,-0.6151178094646386,50.53274475362442
19,126025.52441843862,-1.4478278926268957,120.39177370581478
20,13650.975505038286,-0.6501351451340593,39.660437094715036
21,11666.84353100409,-0.5569434391754233,36.051069993949966
22,10640.438767716883,-0.5715882540259833,124.53046693958589
23,19985.21087091822,-0.5996026571731871,110.86063104915662
24,45841.893483255044,-0.9063696775306642,166.399564291243
25,19340.567991920227,-0.46560257601550453,383.19798679737835
26,7743.610484250221,-0.40281194533502546,239.25876100439612
27,26025.150588944467,-0.5268876518639687,492.08501013547937
28,4258.817009197334,-0.057734152881977224,110.90367879479024
29,8982.186683431813,-0.4080744617368286,85.44129137000166
30,12553.105320258508,-0.6972520912491735,42.52929790592483
31,9504.736109054289,-0.5105585718922602,51.425174480561274
32,12318.744401130045,-0.39221322809798426,35.80929496922814
33,15963.831443449226,-0.6016523459115568,25.443164883713237
34,11565.565561695283,-0.402095384101352,64.23003815811533
35,6553.347292983801,-0.43156143587855134,28.685451721613905
