,500-1kg_1002,,true_2point,,true_all,,500g-1kg_1014,
Sensor,k,alpha,k,alpha,k,alpha,k,alpha
P1,3054.814138,-0.157585244,3144.420073,-0.195618506,3549.405452,-0.244600442,2373.032981,-0.178299478
P2,5679.460058,-0.315136226,5342.929178,-0.321508327,5583.95125,-0.33349828,5999.150612,-0.384369498
P3,5957.204758,-0.180399636,6068.466835,-0.216463904,7675.446719,-0.317975389,8788.878305,-0.441038313
P4,6836.667605,-0.260964902,9159.135502,-0.40482134,8851.53422,-0.380235371,9551.442541,-0.48120282
P5,6730.451298,-0.372370831,7559.146753,-0.422128821,8073.582617,-0.451748055,5724.678225,-0.49005637
P6,6504.95486,-0.199609798,7643.694202,-0.289857837,6779.270548,-0.236985331,13222.25173,-0.644740151
P7,5415.270499,-0.164407815,7015.92154,-0.335934547,4365.906145,-0.125097717,8965.305343,-0.500734693
P8,6314.044678,-0.188373939,5818.473103,-0.171611284,6738.405247,-0.232061212,5862.472164,-0.269134099
P9,5804.834686,-0.180734236,5483.140692,-0.187695632,5715.559988,-0.200274348,6715.956009,-0.382678478
P10,5001.595845,-0.228843126,5077.768576,-0.272085055,5932.965283,-0.338766384,4887.566027,-0.308837516
P11,6086.56776,-0.231006081,6158.293944,-0.267649126,6670.465202,-0.296480625,5868.246266,-0.390741663
P12,4375.076889,-0.140479104,4154.874304,-0.147063929,4408.598839,-0.171335005,4569.874398,-0.272882659
P13,5345.305878,-0.055090139,5428.993793,-0.088165429,5296.532238,-0.073246213,5628.993772,-0.188301798
P14,8652.471539,-0.240818551,8203.029378,-0.236366743,9025.747034,-0.272921256,11153.26734,-0.428124449
P15,6074.785424,-0.423355522,5093.232953,-0.359150471,6477.73873,-0.463722943,3828.42831,-0.373411738
P16,14447.04259,-0.25215734,12655.47275,-0.201582304,11561.66838,-0.159572964,8113.560302,-0.108846629
P17,9953.266055,-0.418538671,12291.57927,-0.524823135,33784.68926,-1.017600304,4761.244637,-0.234536287
P18,16116.76822,-0.579571346,13916.40321,-0.510267413,16046.97799,-0.579088993,6688.072324,-0.303266796
P19,20370.89104,-0.638482443,18714.35437,-0.601002651,15697.94,-0.50308118,16652.68641,-0.645067148
P20,7530.885687,-0.374668029,8215.977248,-0.412377209,6801.16056,-0.320543738,6915.142084,-0.422119336
P21,5272.17918,-0.10347716,5303.699843,-0.122950818,6004.728109,-0.172142983,4538.735125,-0.241224293
P22,13766.15881,-0.405942959,12778.52442,-0.378179669,12484.38472,-0.366711556,4250.560081,-0.138978014
P23,10486.53319,-0.341493572,10976.58256,-0.361432099,7615.738489,-0.196811041,8902.864056,-0.398569849
P24,13244.36673,-0.486711244,13096.99832,-0.473132418,14462.74061,-0.513428163,15137.61567,-0.710745412
P25,6818.309702,-0.163555296,7130.900625,-0.209584195,5680.522266,-0.104464827,6403.351365,-0.255575489
P26,18626.64233,-0.584149461,17344.96255,-0.509570711,17579.34021,-0.521495613,12859.02216,-0.505860964
P27,7929.449774,-0.302941035,8248.07482,-0.340093427,6447.983194,-0.225239315,7817.617357,-0.42337164
P28,11490.69439,-0.375025159,10119.98969,-0.32024808,8651.296276,-0.243574205,7214.726928,-0.359146083
P29,6992.602673,-0.165556326,9585.535394,-0.306236718,9906.989086,-0.322967257,12258.1431,-0.528797441
P30,15457.29389,-0.478875929,20789.50186,-0.563779694,23399.04574,-0.611414923,9285.027336,-0.465695826
P31,3567.971122,0.054236958,3430.822151,0.044536009,3871.425543,-0.003837794,3729.823146,-0.144705136
P32,5896.106444,-0.165800048,5804.470111,-0.166786004,6606.26208,-0.230368451,4362.692849,-0.18860906
P33,4420.001836,-0.019666724,5567.900808,-0.146529842,5648.575159,-0.149808078,5268.221365,-0.22631247
P34,3851.287267,-0.042812925,4672.755504,-0.15082967,4636.780369,-0.142225656,6641.120853,-0.343225514
P35,4468.313262,-0.157446281,4571.386603,-0.174855031,3697.85182,-0.078712017,4304.15066,-0.208537773
