Method: 500-1kg_1002
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,45.96668773367666,29.114014805175973,18.56360075396313,13.457151345891829,7.982531643050513,3.748660928652292,0.3847246734697309,2.05118897807982,3.2828803869565046,4.385323123418529,5.535903948668305,6.287524930164713,6.565671071303944,6.8448570452794355,6.957748252909278,6.950316324235582,6.728943650574783,6.502773546866412,6.041898363480461,9.860652710832522
P2,69.52714183560173,51.17411374901604,33.10514279111661,16.917763034647592,7.393291113861064,1.7338720069302664,2.6726485183359374,5.873857112345395,7.3943762433782645,8.307166118627928,9.051490093952392,10.075145096719881,10.126792724500977,10.29532879992282,10.29597982410672,10.154814781985607,9.847371223938826,8.951232328975337,7.869765249742912,15.303541718300327
P3,64.39137753238738,53.413444219000546,33.35229687529772,23.38333255259276,12.12552499955243,7.345526216145841,1.7974920875986833,1.540795065144524,4.033063329736978,4.964385879383917,5.644572535743185,5.818294596762891,6.09692050950456,6.555526181009222,6.768731499717462,6.769940080533908,6.733904146510484,6.703718345622707,6.666443106098303,13.90027840833387
P4,84.64401194164985,63.169513182608874,59.13780433215426,54.63439446036798,42.31450245396124,26.672941259723835,17.855293322935793,10.593960881814773,5.910466232444516,2.685114893311647,1.8155404521542993,1.037025890876785,0.3273228445543222,1.472685565641292,2.627645249318728,3.340040913344324,3.671304106355468,3.882369077272165,3.9552481753529016,20.5130097492549
P5,91.18104000913831,81.15764261343247,69.73506375475385,53.33088840746412,38.86761975275672,23.827923423396733,12.775592390929763,7.065291654652245,3.5392238529425075,1.4237679819083535,0.18907197079238106,2.196678132967533,2.9666076718565906,2.5401767389801617,2.191900520213999,1.783460084708597,1.1676707382402938,0.4598038754171735,0.1542922718095029,20.87124820244007
P6,92.08552459038641,91.39217196323607,76.48019473307635,42.762571259353265,26.83931903999589,16.948951475696045,9.101899859400127,3.693738233035265,1.5939826725975879,0.3003362431568926,1.947245552301824,2.9404666754860145,3.874156400882024,4.554689059548523,4.776710704163423,4.773396090448343,4.742817635204998,4.709911492780791,4.758439945671733,20.96192229612745
P7,94.85937858709273,89.10000072892409,78.17864110069786,60.58507158790859,36.462770744318334,19.828705875325298,8.870824321954778,2.693476448253442,1.7249468653765474,6.160081156743461,8.667399560999979,10.48258677883546,12.16004438343084,13.661337765092055,14.300389378085002,14.6162651667705,14.696649572724295,14.771536754436799,14.567691666423778,27.178305181231256
P8,42.52228127054422,27.73834962744553,14.495154687594264,8.634460258591822,5.651767842087394,2.360131509816056,1.0585213472943538,3.7051302651802924,5.628722339894455,6.938071140113656,7.713093306900079,8.096722985450794,7.901223471146044,7.16540169170033,6.524242508699461,6.092870250552354,5.627201715867254,5.047358884430596,4.408526047232003,9.332064797396892
P9,43.95907723324144,23.60275902846922,10.406843392767193,3.5028023324766564,0.23301433316031983,2.8688813666773103,4.840951271387273,6.1179053744118885,7.059762005898585,7.273834223231137,7.486994931644877,8.256422744807036,8.87008080389654,9.161104582394698,9.397373427859085,9.175421831625833,8.546990635747493,7.974342720668452,7.577602844077167,9.80590342549696
P10,86.59297812351787,62.41440147302157,33.21231747900607,18.35501657523699,9.439966837367633,3.2417191106428858,0.7706059338387689,3.9090056505431665,5.599169655181728,6.565379764492654,7.261208970122241,7.8994889776639905,8.106867172760563,8.163687427062262,8.363286144796453,8.655043559464456,8.836040042334293,8.805885480616904,8.812207490737327,16.052856624653042
