,500-1kg_1002,,true_2points,,true_allpoints,,500-1kg_1014,
Sensor,k,alpha,k,alpha,k,alpha,k,alpha
P1,4993.57797,-0.163911554,4088.165611,-0.100432569,4516.668976,-0.141544331,3300.449562,-0.075864566
P2,6634.206443,-0.200476901,9608.827687,-0.386540207,11744.91992,-0.466818179,5574.549689,-0.197930993
P3,5753.750305,-0.156756836,5878.314748,-0.210522103,4573.582886,-0.09995871,4780.272009,-0.181520862
P4,4922.557372,-0.240264598,6389.008613,-0.402475795,5313.338549,-0.314159151,3698.938588,-0.261338477
P5,5556.146973,-0.313734717,8736.992167,-0.524378862,5150.508293,-0.288243738,10456.47373,-0.669157132
P6,6314.282487,-0.138757278,8311.793246,-0.288098787,7640.733774,-0.243146515,6284.843789,-0.186233486
P7,5423.400524,-0.17541075,5752.055148,-0.234052557,5082.223242,-0.172651717,3815.084031,-0.088137719
P8,5493.400303,-0.123744509,5602.657284,-0.17037251,5790.231119,-0.180904576,4904.856402,-0.131322527
P9,7692.75184,-0.241500409,7467.319006,-0.24536073,7135.669881,-0.223923635,4580.494888,-0.106949323
P10,5810.655473,-0.1368859,5587.112903,-0.153305552,6281.732605,-0.200761872,4081.800693,-0.066201594
P11,5021.512122,-0.103032959,5511.947482,-0.164098959,5042.479373,-0.125123327,4434.61786,-0.097185598
P12,4466.920558,-0.156772682,4324.444708,-0.156863135,4589.224849,-0.177261327,3228.340886,-0.093419453
P13,8138.855904,-0.345269955,8532.736943,-0.377387872,9073.61243,-0.403014397,4687.641541,-0.251411947
P14,7865.150136,-0.302069725,13859.10483,-0.577181585,16010.78109,-0.63939738,7695.489976,-0.409211392
P15,4557.815668,-0.239251149,5551.640471,-0.338745277,5821.477855,-0.355864858,3580.700683,-0.248393345
P16,7835.10278,-0.071025044,11933.3868,-0.263970722,8939.792962,-0.138333984,6403.746551,-0.064427438
P17,6265.321291,-0.134949898,9790.286121,-0.364245077,8011.338536,-0.27292238,6208.798273,-0.20838156
P18,5755.781391,-0.133421877,9971.585178,-0.397314678,7624.632531,-0.269463531,5543.097243,-0.196051048
P19,181967.2582,-1.077945956,594807.4259,-1.511168703,144091.4503,-0.8777331,19923.90338,-0.281300992
P20,4689.545074,-0.005919135,6934.875845,-0.216035192,5025.080551,-0.073633419,3901.513232,-0.080406476
P21,3676.396202,-0.01217376,4321.905087,-0.090169215,4661.553996,-0.118270813,4234.517036,-0.262890763
P22,4171.438445,-0.017014852,5047.960103,-0.116466075,5477.702334,-0.150808114,4830.159666,-0.234444083
P23,9907.910234,-0.17541329,11983.03187,-0.299590257,13682.2789,-0.353841613,12980.84193,-0.460511786
P24,16042.91292,-0.481797712,66668.97109,-1.076197336,30344.43973,-0.725441936,38552.5978,-1.042534888
P25,10168.25224,-0.248982257,8726.764984,-0.194079552,8423.377854,-0.177598636,7633.242539,-0.226310951
P26,5372.060225,-0.063108676,4881.292706,-0.046621144,4253.056881,0.016462659,5709.136322,-0.204811987
P27,5840.154128,-0.241632377,7363.105717,-0.373459013,8882.702132,-0.453378928,5279.027059,-0.304022873
P28,5655.58891,-0.23918426,6743.456436,-0.317006356,6676.431409,-0.307893396,5169.866051,-0.332300032
P29,7414.177581,-0.239386282,7629.933274,-0.231442468,5943.483711,-0.122084984,7959.460999,-0.443127645
P30,4391.717685,-0.125691009,6138.850203,-0.22324528,9027.402661,-0.436635618,4819.265486,-0.312170835
P31,10464.15122,-0.354604266,15457.97352,-0.547161213,13613.86335,-0.479312237,9830.259303,-0.458376646
P32,7010.018436,-0.282719717,11053.87344,-0.501563463,9831.156161,-0.44300455,9281.559973,-0.663948208
P33,8368.054057,-0.259478087,11017.47813,-0.385191142,12824.83701,-0.447564648,9207.98887,-0.423850528
P34,9347.824726,-0.304915282,18708.17936,-0.607903172,9182.768707,-0.29800907,11112.92689,-0.565065321
P35,6891.094479,-0.220247835,7614.538395,-0.27301414,6612.834328,-0.201882433,,
