Method: 500-1kg_1002
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,9.5N,10.0N,Avg Err
P1,27.739154460762233,9.828029589269406,0.5244458049707651,4.631283222274505,7.091247614181223,8.70346035923853,9.970301277990517,10.337739436541753,10.284238336402817,9.972575384016565,9.976551824498149,9.436295361069527,9.095112355758019,8.732165666682535,8.067663056396308,7.3883527092018175,6.728635363698573,6.06415216732374,5.5369088136541444,8.953069094943745
P2,99.89679638039591,89.13862201983434,68.29993266400889,55.882713340948825,47.37522681626562,36.03595435490242,22.147619211636417,13.665047963724549,6.852490859533618,1.4615994486169221,1.9568690104953312,3.426995696740322,4.744716952575491,5.269409258891436,5.5741005788374265,5.718164385934593,5.890667174196255,5.838530387200477,5.969743220346749,25.53395788026766
P3,87.84595311328964,73.86037509293125,60.29582060520982,38.42924842007717,21.475252431560577,11.345577662661993,4.674032598426228,1.4338382829717928,6.728027568694931,9.468286686181445,11.071712260781592,12.082859014426539,12.563816072655218,12.424745959742621,12.340702330961513,12.081609201099699,11.751081202991017,11.329602875084227,10.780530690327797,22.20963537210921
P4,79.64228013850726,73.89594686346408,61.59954742138556,49.77918664626473,32.52289089786958,20.48479244484479,12.413080523163705,5.402449343169373,0.03179783891611298,3.8971482360599814,7.145745446519549,9.101651799988627,9.954225148627698,10.66932345856007,11.363935286365642,12.066024038906734,12.479822612771468,12.321213121043137,11.935671870424947,22.98456490193963
P5,99.79212706186047,66.90138681290567,51.1181484888893,38.17408912650017,28.688250963102476,22.552114927872378,17.314813668023028,13.669660326428577,10.742294554381587,6.778090566473901,3.888498833056835,1.9749706892980208,0.7142241323190291,0.52067059651088,1.408996877847191,1.9872565086508591,2.6297513746900925,3.127500085898783,3.289440372064223,19.751172945619654
P6,96.93619116383606,82.92634575965387,49.6203690600982,28.837154648275508,16.683796353484496,10.837673447358695,6.940796749403859,4.80730445458997,3.3916842012044124,1.3083907209412866,0.18122647191268168,1.442542483757437,3.3772431230348143,4.681187150802626,5.705331694584869,6.428513910119563,6.872102365386962,7.123664182784124,7.144722618299346,18.170854766290987
P7,66.78316299320497,47.978898453268826,33.00046997860378,19.840141255949014,10.495155329547202,4.221122906039571,0.5780034308381488,2.099898445553194,3.6185478862876437,4.573124846648707,5.099510566009663,5.250820240202471,5.87772751650465,6.578897907350377,7.1117655155936275,7.234823252205581,7.397521452862375,7.7072379962461355,7.917144354028051,13.334946017207578
P8,66.35093159355647,41.195053643302984,26.21139606675408,11.19895350962812,4.39186956328916,0.6371147883663842,3.896618774946631,5.114787147906018,5.691184147878598,5.6982799215423245,5.415852943993485,5.192744671295742,5.5388077016146875,6.006459520421635,6.471166137426207,7.060623607248923,7.696090123828033,8.41937364529563,9.162931682005667,12.176328378436883
P9,59.75671099930254,25.862717955184362,6.270175530218515,0.8865634338002977,1.9502518897468337,3.644985276817684,4.830608427068991,4.720174159244289,3.660969469414277,2.4173684393425634,1.6687070761040619,2.2911153364437977,3.0469347596790213,3.804209964911759,4.43533095320534,4.552140508960129,4.368456807766025,4.1024456973416425,3.9387138417802094,7.695188448754333
P10,71.33673458017981,51.399429037130524,23.350190072893206,9.249992911060799,2.700331169843695,0.5971208244842665,3.7021418763041765,5.485191698870218,6.786050050250725,7.757058312868188,8.151621895387382,8.259904147611827,8.323446390733732,8.443209323069633,8.442978602650188,8.224498140371521,8.315306881537232,8.262312066043991,8.008349671425488,13.515571981721926
