Method: 200g-500g
Sensor,1.0N,1.5N,2.0N,2.5N,3.0N,3.5N,4.0N,4.5N,5.0N,5.5N,6.0N,6.5N,7.0N,7.5N,8.0N,8.5N,9.0N,Avg Err
P1,65.87468403728488,72.7695536145398,75.46476624162247,73.93223194958887,70.78223134802809,67.95987644286537,64.3658317634458,61.71208558873857,59.17862010602698,57.58638675290627,56.2656422618586,53.84920810361108,51.59164233632888,49.34879092744157,47.124575400558015,44.76972570025798,42.33450031144278,59.700608993326234
P2,7.4135554393143845,2.949411328001934,1.9769152436240194,8.027318211285543,14.594439128842255,16.332522229261922,15.013498109394671,12.553646022171513,9.516475685425814,6.847121559139274,4.238648800869589,1.6443981824291283,0.7681993775451336,3.1307980713470345,5.434883937299193,7.670117076278658,9.871912593303401,7.52846241150197
P3,5.992878265193547,15.18182263230017,24.109148137380995,26.6861064722222,28.164762017804986,27.879882074722843,27.316023441677377,25.662514580070592,23.808754474030685,21.802664821068024,20.214583129229556,18.947417995635533,17.48584097502515,15.734080435263902,13.832731566531534,12.02201072476644,10.026593077697441,19.69810675415417
P4,6.306544653488156,0.7377976571779531,4.988837365523416,8.140793259600542,10.766278275383515,13.094820200076736,15.334279623721491,17.90846615547515,18.81025672331727,18.909165883256463,18.885526133052966,19.018834711822674,18.91368145876314,18.179270522028077,17.056305999197566,16.16580727966651,15.20162316777643,14.024605239372237
P5,45.42432284740897,47.306301514154306,45.264572996174735,42.60015989262857,39.62507356047582,37.50993693829514,34.84270152281848,32.12907713857189,30.026655476085942,28.137638858126934,26.152798518846677,23.978064391495252,21.94184971243178,19.832034535512488,17.72717927953237,15.71461122417939,13.795618747589756,30.706388067901678
P6,32.996889031088614,62.86937035475686,60.38852622438458,61.0004996750857,54.05586683612731,48.85616556964001,41.103851511931495,33.125082006224964,25.76790417969726,19.43070580383459,13.63187295188655,8.30190620913783,3.474767204802495,0.8573775874242288,5.052805567675712,9.1722021548103,12.889917472539382,28.99857119653223
P7,0.014695020754198337,5.760216031728545,6.721416530637762,7.787811445851619,10.118095022671476,12.647322701418956,12.167903338874785,11.934697149005702,12.15753278346846,11.70034757913414,10.870609128570878,10.49862694329458,10.017950918253154,9.766535297021042,9.505110418563602,8.856673296358561,8.153170579476948,9.33404201088732
P8,44.574136232219864,6.921073739072208,23.8753528169828,32.60398278874039,29.745196107549447,19.983274858272402,11.420385748416942,4.557881486925149,0.009946981103335834,2.958037314712136,6.080839353337557,9.363611511382452,12.568310206823586,15.676205454859332,18.928802654766873,22.23939311937946,25.578083437460425,16.887324341882607
P9,0.8996344647821739,10.122461510403701,12.75834045990695,13.41399886182864,12.067206332962328,8.987595886621598,7.295987180137732,5.864557003557912,3.8948691106733615,1.8271990483834109,0.1120776266693535,1.890910803435975,3.654984597708685,5.422074702923043,7.202370235033256,9.108751712157012,11.142237002326254,6.803838619971258
P10,16.40463505469261,18.130063191481625,22.19383619286898,21.330430972310772,17.12275166112318,13.631507777101278,10.289952246760139,7.020323976012999,4.353653351767955,2.4924992098808345,0.6827391159943161,0.9322849125084804,2.1251794849760923,3.082932427342163,4.266687287936172,5.579586288329938,6.967187151612476,9.212132370747058
P11,27.657370841384164,30.68818881884077,33.045646473983496,33.59832945031583,33.32426610688415,32.45132819053226,31.485221710003874,30.884799521277447,30.79652955735712,30.059660575588005,28.78657183939599,27.242680860813625,25.63773174417301,24.183712512558202,22.654220345140033,21.121223873221467,19.679247609228717,28.429219413570475
P12,49.739601256705406,48.16716273593468,52.9511822005684,55.29038005588251,54.951499731675995,52.87014615839025,50.57577982187492,48.04384662306191,46.08658886286531,46.78672423405594,47.623901779147516,47.78815471683623,47.34214325070356,46.21423586125705,45.54307413602919,44.913944482643444,44.55427557505484,48.79074361662865
P13,22.03810708551667,29.242066204904877,34.90031171912759,36.51194749347018,34.387599448349505,32.74338110509783,32.175585047256945,31.532524728467592,30.0584788567576,28.614845739513648,26.950559785899614,24.88592464763748,23.083659064091872,21.126139519268627,19.240053885762734,17.592209481060856,15.92745238519296,27.11828507043392
P14,82.69541934537386,56.7589012233613,66.12832182977768,71.7940242311336,65.67704138344632,58.33824864517188,53.03877380572985,49.53209654948461,43.73945845152784,37.5641436618539,31.885354838622668,27.337936995740883,23.246753476309006,18.941216363866065,14.820575945900897,11.085218345586938,7.621745696724688,42.36501357585953
P15,18.24711046601494,13.426588629032405,40.56560902060689,64.32693870260877,85.62591060799592,105.6103419685324,124.07981187164728,140.96828114686056,156.34875542791215,170.68561337115332,184.63055216540047,197.80262584170816,210.80250756724777,224.29811671044402,236.45235851001542,248.10096145303294,258.94548293326164,145.93632743491028
P16,1.8827779234923894,6.311965552512911,7.171172347126449,7.310879445692003,5.340293391985064,5.439692570628439,5.501070854382388,5.527730005106084,4.891611519299055,4.26005015434454,3.23926892648289,2.3994762790244275,1.8102292629362489,0.7281199061890712,0.35472333691982716,1.5959341859929193,2.8089181051792034,3.9161125745467
P17,62.31355543388788,58.65454550592325,48.77339369159091,36.844201649742075,26.14158928810635,17.749205373695542,9.889852403092169,2.5554874737415134,4.900218855358669,11.082293803830877,16.0836945584333,20.41514732697772,24.539807420825476,28.40798334054687,32.00638498096958,35.498581352861656,38.61558530958774,27.9100898687748
P18,29.450303636936628,9.451361110699418,0.25723530026939784,4.5026248820269865,6.53357385495074,7.479036541055461,7.583265557917206,6.894615144839367,5.3133192613000935,3.522995649782045,1.6766649484308191,0.4356342880344116,0.8829875087459683,2.299618196120877,3.512001273837956,4.592921131372238,5.507959104065805,5.8762421994344365
P19,34.90797071948699,6.606542196920212,3.79191233239817,7.342924613567049,9.59944164866332,10.100465197050793,10.289195203406473,12.99458418491095,12.599455947048964,11.03552882808331,9.85283908644072,8.951406722708608,7.980538697887566,6.554812174969498,4.972535767401655,3.3379189714734925,1.5748162275983781,9.558405207059774
P20,0.17881307890555115,7.118994121477444,43.51631084501144,52.13087183876689,46.38663293249754,37.259121991037084,31.778668146840154,28.31054962191335,22.504120734359027,18.240458137664334,15.774218354854789,13.592677038459794,11.329539964629811,9.72592056483484,10.352482245403502,9.055027118663155,7.312159401332067,21.44509212568534
P21,28.104039357939897,20.448422339453295,18.78329326559964,18.174442320633656,17.53912049921747,15.78853392556297,15.636657966224178,14.985663391156702,13.738348814759032,13.82866338108529,13.766605660759545,13.849279243873212,14.19148857287307,14.704661301103318,15.082484186247369,15.384902904677,16.018824215179425,16.47208419684383
P22,65.25873461053655,70.48347210863153,71.93359065068505,63.08141695015233,45.77585983297461,28.93194075209024,15.515915241398284,4.76871815510346,2.953208930796865,9.209735705212124,14.384146056558253,18.27850263636134,21.50800078036797,25.209694380228427,29.25704975395847,32.71745776369927,35.71805204708634,32.64620566799065
P23,49.279633067469774,8.162523048504973,25.56061595941195,33.50652047811629,37.18035539282034,39.80240733517789,39.340635803315,37.94251300155209,39.324684618275406,44.45406783900782,48.13425526559714,53.458370143342016,58.428626490758695,61.841881728640764,63.75585466675689,65.02094957498888,65.12015091259624,45.31259090154896
P24,31.707722138570478,8.446136181522439,11.231408567504822,28.446319073942384,40.66529724006003,49.21014604990556,54.607515140918714,57.20660137540708,59.76896481237405,62.629273092786214,64.49086440283853,65.74876250148709,66.35642811029967,67.241448599771,68.83843101926176,70.05734664108736,71.06700464104813,51.63056879934032
P25,26.848196565353266,45.19907072751865,47.561635495708025,38.03341426741325,23.713246977207234,12.074964429432507,3.9596767553669667,1.8203157964093937,5.007856535015479,6.074628069891527,4.7693949210676445,4.908885751628847,5.684255867270916,6.146861339231256,6.8240541777136645,8.791999457861218,11.756512143955842,15.245586428120335
P26,112.17987457164143,93.06715260669094,76.72612777540267,62.9701946120515,53.63763924580063,45.61209381214964,38.016716509413804,33.116644796357136,28.74502549469981,24.869144499822692,20.831587133253205,17.462972383930587,14.179713706766028,12.031710414452427,9.833974825104399,7.692983453579236,5.646982355898861,38.62473754100088
P27,20.45189855877489,22.08721319443794,22.22746972075245,22.440795786285648,20.33086608056147,17.68064342073533,16.5702346083065,15.050008113662551,14.0869631473771,14.323448361176254,14.793861347568573,15.623982543986461,16.503727057842905,17.48024914141029,17.86174575748525,17.82844116807699,18.16607148718142,17.853389382095408
P28,47.10812429431638,31.97225516819217,16.41302106248287,0.4527131768104589,14.97229752042791,27.54621323423038,37.165976941023786,45.093251441937646,52.231208425033174,58.4847899090342,64.82321516766378,70.11433574756705,75.02081984909906,78.89283683867609,83.01990647354873,87.47326371824883,91.75092412349258,51.913832534810886
P29,669.8347644498378,306.0103677161051,215.33666927231477,157.94799720205017,102.18179142606398,64.80094089307497,42.117372679685445,23.5019677568804,11.096963118741785,0.032036801923999596,10.417067793641149,19.542379174053472,27.64288254514976,34.71386537301919,41.11188826377416,46.47633193464409,50.91880900350068,107.27553502379182
P30,32.035893269936544,22.000852620765443,14.261494442303452,9.064206787496701,6.005338840975355,0.01754628420730297,7.7623731188618414,17.349551886444534,23.83794994402853,30.02708225921328,37.32124478574234,44.99447773772666,52.51590672790615,60.56299487221277,67.29357768164711,72.05410642928565,76.24441216742404,33.72641234448104
P31,31.848469771479934,25.586491305364415,18.69375103838985,11.585656581144889,5.1670019010108055,0.33359883463266504,4.350007516628202,8.32865965443764,12.230991578028348,15.906579484070928,19.171091318561352,21.47589517556974,23.709161468145624,26.260345615253897,27.721163169327948,29.9852297152346,32.469898006558346,18.519058360814068
P32,224.93672848827566,152.15059644724866,108.77478526008424,81.73739085341386,58.2229420768533,39.192558830631995,23.628757701127476,9.504549079033326,2.469368268331089,12.356009115766293,20.725367779612345,27.965404110378,34.24859975497203,39.71040820403587,44.40595243741135,48.43634007993745,52.09835567841895,57.680242009737164
P33,66.77053498876649,74.44904331170324,80.05554773036684,80.43053788784675,76.58953294758572,72.13850763226863,68.52581583605729,64.12062773566821,60.01063644304458,55.152840145480695,51.4096353367338,47.90391555759635,43.99767700366218,39.89963237210477,36.265894971356346,33.06074179909754,29.96900537677866,57.691183945654004
P34,81.36607883181851,72.66837900620392,64.70222641526802,58.0404576714651,50.647341287832354,40.50900394895926,28.04671590722967,7.680213470820649,9.415348477883793,20.966210999067176,30.000788636367023,38.84452250446747,48.09754953138195,56.7095131446681,64.605750179389,72.69695203053071,78.21859926794113,48.42445007713493
P35,10.581141711682578,5.424325792464286,0.8942189504868232,1.2762098959247212,0.6162760454614488,4.8998120185831135,10.636267118421872,12.804859426547248,14.882935740060628,15.641407810174583,14.949647121762995,13.691374011078222,12.378344189199003,11.184221663855817,9.9077336096432,8.422022030236656,6.700133232163746,9.111231198102763

Method: 200g-1kg
