Sensor,k,alpha
1,2401.542670641573,-0.2494383248942258
2,6204.638987132639,-0.3854901959444131
3,3495.0950048924137,-0.3197996193153972
4,4119.723826183103,-0.3217910856588425
5,1697.459339099293,-0.13637970661062693
6,4483.358153357387,-0.3230575041653785
7,4457.898977888847,-0.40797038511479594
8,9172.879598528538,-0.6191526560446685
9,2113.4205243143438,-0.2611203880764579
10,4762.029373226265,-0.26453194418125053
11,2227.1050221202645,-0.1489855818327626
12,4469.964929579027,-0.25957727664889213
13,2933.709754782452,-0.25491776299837515
14,4753.907109536171,-0.4336662143501018
15,2576.1841507197873,-0.13220644571538737
16,2977.555734638348,-0.23892675872649108
17,4733.6222128190475,-0.4136278371717944
18,3713.057198711831,-0.33011282588255086
19,9973.41461719933,-0.5502755461082551
20,21026.32719676086,-0.5072633365234089
21,7264.780006110128,-0.40386851390071393
22,10960.59779514083,-0.4527695535301004
23,13053.214107229553,-0.6784440251615891
24,14252.680663408739,-0.25583810112614885
25,21813.092975009877,-0.7042678227736604
26,42744.06777475525,-0.27491631561185426
27,12560.582205189488,-0.5972890525823322
28,5876.924709632817,-0.36882602511385765
29,101403.38488630287,-0.5626241364506249
30,35020.17438295703,-0.6884661185827156
31,37276.731061009945,-0.29881721907673076
32,9240.24203710432,-0.37881867861798335
33,18398.788000556233,-0.3820961238253322
34,197097.2682168852,-0.7211092634828928
35,7960.517148892051,-0.4550872040295188
