Sensor,k,alpha
1,2498.4292690673765,-0.2597586688962791
2,7549.304229756119,-0.44844912210184323
3,3833.570254922869,-0.34880030492178593
4,4289.749072003909,-0.32501366636787843
5,1773.5484377551531,-0.14849881280521357
6,5354.626904360061,-0.37915565579363275
7,4594.351168833821,-0.41196472599705275
8,11423.98541079952,-0.6980948211069471
9,2301.4367276485955,-0.289091586371448
10,5027.652883628754,-0.289850081330918
11,2342.6856013695224,-0.16362174182055111
12,4620.521158631987,-0.27511822066034186
13,3088.4636141456353,-0.26554741134023574
14,5620.155934025239,-0.49018548151734476
15,2691.5085325614477,-0.14802373346921954
16,3058.0557031676267,-0.24249806863237397
17,5260.029142409157,-0.4422701536412044
18,4170.059048071758,-0.36883056240678586
19,10667.061972748023,-0.5595636960760006
20,24765.257587548673,-0.5894661871189939
21,7344.83924208095,-0.39991230078383677
22,12492.191962752167,-0.5088480287576301
23,13458.266303371554,-0.7042368840714605
24,17018.343602631805,-0.32224964928836697
25,21253.68326726873,-0.7200129127318854
26,42561.24840784038,-0.2742859439592255
27,12560.826544185351,-0.5803219043682092
28,6611.303857239568,-0.40438371843690096
29,109275.65222464592,-0.5729239493875251
30,31840.5841607192,-0.662162333568447
31,39015.121658506156,-0.3108734771077059
32,10621.50438047021,-0.41118488128643904
33,20112.02404952193,-0.40621271838156947
34,167174.32551554503,-0.6048235561181472
35,8002.725717566713,-0.42960609622766005
