Sensor,k,alpha
0,4416.4521549184865,-0.31255850904960836
1,7123.003433989807,-0.34573438063739226
2,2923.162413186631,-0.4612474578316934
3,3177.4589598916164,-0.24878702417676726
4,5985.060501389423,-0.34626241211426945
5,3457.6585327697208,-0.5241273069113829
6,15051.082323188919,-0.777433302649521
7,4016.9409647587304,-0.344677559612178
8,3254.102167018597,-0.17507262214921054
9,3448.3238197515575,-0.41482530025414416
10,4948.823186383823,-0.6427302609714982
11,8065.675679827852,-0.492395034823298
12,4627.361190065085,-0.3128389827558368
13,6235.38918268781,-0.5394292243386222
14,4772.329577696189,-0.4979190029940989
15,4042.0079726668573,-0.3636841572889624
16,3738.6415964992093,-0.3036119276607091
17,3007.6408095684474,-0.3658883577360675
18,7810.774340441792,-0.5101690895137463
19,6290.3707372796625,-0.44704317898804263
20,2991.6288696843226,-0.1788891747833653
21,3299.8387806845985,-0.35563193697147666
22,3765.3127494065197,-0.20854838591607555
23,3180.9990663900967,-0.17622223559294056
24,4790.030841173668,-0.30273916339724444
