Sensor,k,alpha
0,4106.343765319061,-0.29219852171031385
1,7057.567416750301,-0.38272327314488086
2,2411.428804569497,-0.3084711138186133
3,3351.4572221644394,-0.3277286649337225
4,6644.197087179287,-0.49984363253444625
5,2378.6897169741183,-0.3439145058326303
6,9826.697417607385,-0.6955962012544336
7,3671.704146279943,-0.30839481703032084
8,3350.3619892613237,-0.21854747815472383
9,3675.7422503159787,-0.5673998583228537
10,5146.4896376406505,-0.704366471404253
11,7562.281644056107,-0.5328655615275982
12,4434.537294959512,-0.2969145772706917
13,6541.089807493635,-0.6128042569839193
14,4587.291307440118,-0.5132865947676672
15,3762.2360449103194,-0.3130529766469621
16,3741.0484419665495,-0.30694651092599057
17,2798.246980507886,-0.3149503139306021
18,8172.465911090342,-0.5795640572105517
19,6922.787067435804,-0.5888927073358233
20,3024.4180773488497,-0.19604419531160827
21,3110.6395745540026,-0.322139664992807
22,3837.5426242760964,-0.2663303726063709
23,3316.728837122182,-0.2379430448333073
24,4999.614280175812,-0.36696414877730155
