,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Voltage,,,,,,,,,,,,,,,,,,,,,,,,,
light,0.680780593,0.574480502,0.772387601,0.629761807,0.561756315,0.82996,0.528232959,0.651697932,0.694510703,0.69691558,0.615180583,0.4847758,0.49396544,0.577117734,0.662357864,0.574769971,0.631148418,0.691252953,0.573153323,0.572556195,0.548693195,0.671564867,0.610643846,0.727667949,0.556099338
middle,0.819044404,0.66422569,0.968144076,0.850577996,0.61872757,0.821629047,0.650864082,0.792090807,0.782641845,0.772251282,0.765830117,0.618735044,0.605680977,0.764236205,0.79876438,0.802586193,0.797847576,0.874414883,0.652902181,0.714431422,0.756245034,0.914074292,0.780736725,0.826990339,0.622382173
heavy,0.881649269,0.645134494,1.097006681,0.891594896,0.777638666,1.025927238,0.829026253,0.804936629,0.775060805,0.964482305,0.981348882,0.695430832,0.865385783,0.897941708,0.964992039,0.922929949,0.942761823,1.097252743,0.751047525,0.921038013,0.820163769,1.16401173,0.733703573,0.89374905,0.773156654
,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure_max,,,,,,,,,,,,,,,,,,,,,,,,,
light,0.045,0.053,0.031,0.045,0.039,0.042,0.042,0.043,0.033,0.033,0.034,0.035,0.032,0.034,0.035,0.032,0.042,0.035,0.035,0.035,0.045,0.035,0.033,0.031,0.035
middle,0.053,0.044,0.034,0.045,0.044,0.053,0.033,0.032,0.032,0.035,0.03,0.037,0.033,0.035,0.037,0.037,0.03,0.034,0.033,0.053,0.053,0.053,0.044,0.034,0.054
heavy,0.56,0.039,0.056,0.058,0.055,0.053,0.047,0.052,0.058,0.06,0.053,0.052,0.06,0.055,0.058,0.057,0.058,0.056,0.058,0.06,0.051,0.054,0.056,0.06,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure_avg,,,,,,,,,,,,,,,,,,,,,,,,,
light,0.012,0.012,0.01,0.012,0.011,0.011,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.01,0.012,0.011,0.011,0.01,0.011
middle,0.016,0.012,0.01,0.011,0.012,0.017,0.011,0.012,0.012,0.012,0.01,0.012,0.012,0.013,0.014,0.012,0.01,0.01,0.011,0.017,0.019,0.013,0.01,0.012,0.015
heavy,0.019,0.013,0.019,0.02,0.019,0.026,0.022,0.022,0.027,0.037,0.023,0.019,0.034,0.023,0.018,0.024,0.022,0.015,0.02,0.024,0.022,0.021,0.025,0.035,0.022
,,,,,,,,,,,,,,,,,,,,,,,,,
Pressure fuse,,,,,,,,,,,,,,,,,,,,,,,,,
