"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1722306269.101,398,402,446,322,373,310,318,347,313,312,365,316,399,415,413,343,316,311,319,332,377,332,312,312,317,13.0,3.0,34.0,0.0,0.0,0.0,-0.043701171875,-0.05517578125,0.9986572265625
1722306269.111,400,402,426,322,373,311,319,346,312,312,365,316,398,413,413,344,317,312,319,332,377,334,311,311,316,14.0,3.0,46.0,0.0,0.0610351525247097,0.0,-0.0440673828125,-0.0548095703125,0.99853515625
1722306269.121,398,402,447,319,373,311,319,347,312,315,364,316,398,413,413,342,316,311,319,332,377,334,311,312,316,14.0,3.0,46.0,-0.0610351525247097,0.0,0.0,-0.0439453125,-0.05517578125,0.99755859375
1722306269.131,399,402,446,319,377,311,319,347,311,312,364,316,398,415,413,342,316,312,321,331,376,332,311,312,317,14.0,3.0,46.0,0.0,-0.1220703050494194,0.0,-0.0435791015625,-0.0555419921875,0.9981689453125
1722306269.141,401,402,446,322,373,311,318,347,312,315,365,316,398,413,403,342,316,311,321,330,377,334,311,311,317,14.0,3.0,46.0,0.0,-0.1220703050494194,0.0,-0.0433349609375,-0.0560302734375,1.0003662109375
1722306269.151,399,402,447,319,374,312,319,348,312,316,364,316,398,413,413,344,317,312,319,332,377,334,312,310,316,14.0,3.0,46.0,0.0610351525247097,-0.0610351525247097,-0.0610351525247097,-0.0438232421875,-0.055908203125,1.000732421875
1722306269.161,400,402,447,321,375,311,319,347,312,316,365,312,399,413,414,344,317,311,319,332,378,332,312,311,316,14.0,3.0,46.0,0.0610351525247097,0.0,-0.0610351525247097,-0.04443359375,-0.0556640625,0.99951171875
1722306269.171,398,402,447,321,373,311,319,346,312,311,365,316,398,414,411,344,317,312,321,332,377,332,312,312,317,14.0,3.0,46.0,0.0,0.0,-0.0610351525247097,-0.044189453125,-0.05615234375,0.99853515625
1722306269.181,399,402,447,319,375,311,319,347,311,312,365,316,396,413,414,343,317,311,322,332,377,332,311,311,317,14.0,3.0,46.0,-0.0610351525247097,-0.0610351525247097,-0.0610351525247097,-0.043701171875,-0.05615234375,0.9990234375
1722306269.191,398,402,447,319,374,310,318,347,312,312,370,316,399,415,415,342,317,312,322,332,377,333,312,312,316,14.0,3.0,46.0,-0.0610351525247097,-0.0610351525247097,0.0,-0.04345703125,-0.0560302734375,1.0
1722306269.201,399,402,447,319,373,311,319,348,312,311,365,316,399,414,413,342,317,299,321,332,377,333,312,311,317,14.0,3.0,46.0,0.0,-0.0610351525247097,0.0,-0.0433349609375,-0.055419921875,0.9991455078125
1722306269.211,398,402,446,319,373,311,319,348,312,311,365,317,399,413,413,332,318,312,306,322,373,332,292,308,317,12.0,5.0,42.0,0.0610351525247097,-0.0610351525247097,0.0,-0.04345703125,-0.05517578125,0.997802734375
1722306269.221,398,401,446,321,373,311,317,347,312,312,365,316,398,415,415,343,319,312,322,332,378,333,311,312,317,12.0,5.0,42.0,0.0,-0.1220703050494194,0.0,-0.043701171875,-0.0555419921875,0.996826171875
1722306269.231,398,402,447,321,373,311,317,347,312,312,367,315,398,415,413,342,317,312,321,332,377,332,312,311,317,12.0,5.0,42.0,0.0,-0.0610351525247097,0.0,-0.043701171875,-0.055908203125,0.996826171875
1722306269.241,398,402,447,321,374,312,319,347,311,311,367,316,399,415,415,342,317,312,318,333,376,332,312,312,313,12.0,5.0,42.0,0.0,0.0,0.0610351525247097,-0.0435791015625,-0.055908203125,0.9979248046875
