Sensor,k,alpha
1,1996.7693689621724,-0.29228629460361083
2,2351.5066343278727,-0.4310392742806128
3,21448.35822559309,-1.1286155187458693
4,2711.485873030123,-0.45679324219562956
5,4060.196179786636,-0.5598865547893805
6,4728.654103983424,-0.4652090978526531
7,3274.3865499794574,-0.48261575508066373
8,1851.275520942182,-0.21759956894817223
9,1222.9186231124686,-0.11901757271146275
10,3040.8650291538856,-0.44516887427665336
11,1329.4338648393355,-0.15223578105824956
12,1453.197255256427,-0.14823175280140613
13,2238.342791956268,-0.3342613502853829
14,5861.41692374007,-0.5587108981842219
15,1582.038160398795,-0.302537344443475
16,1838.4712982257677,-0.22753892029026013
17,1948.4222204602463,-0.23312828395228935
18,2545.1704600607304,-0.28171647747891027
19,3530.804316571358,-0.28970170896881525
20,1903.2617050900853,-0.2653370605336074
21,1614.5094284590205,-0.1381292872283162
22,1803.9821161298505,-0.21979504618057122
23,2782.2773604130984,-0.16533798271492092
24,2300.7829379417194,-0.2357020629612271
25,2016.5891473105062,-0.29359867076175583
26,2177.3819457369605,-0.2814791997418252
27,1920.4024309688657,-0.2910305363032516
28,3605.8585420972336,-0.37713836495291997
29,2986.6356484433277,-0.34445774384059824
30,1650.9186221587406,-0.2920303246400884
31,1824.583584953571,-0.21609497605518524
32,2209.0499754191105,-0.3644898332786473
33,3136.8559272076072,-0.32690340456101835
34,1504.3735098749198,-0.23864931937138814
35,1564.330016436389,-0.1949376680465105
