Sensor,k,alpha
1,4064.2588909432175,-0.1563104924798314
2,12067.179811830774,-0.547338281131818
3,6161.603443030113,-0.20174459270739667
4,3107.612423875052,-0.19119277230162166
5,3461.9416425828867,-0.3079432516922817
6,6550.236193423352,-0.22728284865911597
7,5711.967526488602,-0.42602188730335366
8,5335.810937855159,-0.20701976454475648
9,3849.639046938105,-0.3404402774042901
10,5306.671844162538,-0.2757832671896414
11,4795.517620059119,-0.22243037200225946
12,4424.211400768363,-0.2993910583718391
13,15424.003695752996,-0.5780578969254159
14,4413.725406092955,-0.08331505844375127
15,7983.850694279368,-0.44741713501358676
16,5126.005020207136,-0.12024444485824001
17,5539.99940183625,-0.2340048084944007
18,29699.93021040077,-0.7515026482923195
19,27952.862180447628,-0.7144971221814087
20,4780.611468428357,-0.27855342119366666
21,8262.520242102411,-0.47028863512245067
22,6635.486533522135,-0.4662800108670074
23,9426.51239898316,-0.2835737393935361
24,37840.27392410401,-0.9049583095329701
25,7901.726000991017,-0.22504313328518116
26,3334.634914682607,-0.1832406607533736
27,9783.873430882166,-0.16727735354673628
28,6310.936775287901,-0.3126190435907019
29,10477.21393575337,-0.5179098183683667
30,4370.216965786659,-0.26804980890423374
31,6215.546683628428,-0.3682820959702146
32,9321.09152820545,-0.28714044351220375
33,14231.451543196059,-0.644438522506922
34,21583.547728818743,-0.6159344884732028
35,4507.189187428892,-0.27295181723995116
