Sensor,k,alpha
0,5348.297849466889,-0.3632397915196467
1,7406.319621112637,-0.31203600299177275
2,2051.494675431408,-0.3120148282346976
3,3122.31347142749,-0.24208040002098635
4,5737.084029397329,-0.41420767702563227
5,2705.539911174744,-0.3232843945607355
6,8006.53700130777,-0.47583311651026194
7,4335.507259247305,-0.3885538207251135
8,3767.9030220307773,-0.28104823317199634
9,4162.43423646927,-0.5362030197829061
10,2776.5859155273797,-0.28863719475100663
11,6566.087895993178,-0.35446907435622055
12,5030.110189350106,-0.2995784481617457
13,5449.321007418091,-0.4955197065985544
14,3969.6502658738364,-0.3866225452800746
15,3253.9225587728997,-0.2138609231569567
16,4983.396403968284,-0.45018710321299116
17,3311.1481513795306,-0.3641904690852699
18,6926.789159730838,-0.3997559164052271
19,5394.522723728375,-0.4254716727316
20,3427.7726263469476,-0.17887545833447366
21,3529.9759419898282,-0.32874201206006337
22,4442.119108785038,-0.34995020337607374
23,4183.54177238968,-0.3346168696141403
24,5314.863501518845,-0.3170813788339454
