Sensor,k,alpha
0,5352.062536731574,-0.44177511554371196
1,7413.394716038785,-0.4186040467992045
2,2052.200491455671,-0.3504077308688713
3,3124.1586748587747,-0.308019646574371
4,5742.066603836891,-0.5110975954310689
5,2707.5101188478966,-0.40453086557678886
6,8017.40238400688,-0.6271928389631287
7,4337.72063515878,-0.4455189323426421
8,3766.93721711107,-0.25243612295848167
9,4166.15565574752,-0.6359435508930088
10,2779.0511944594427,-0.38768999202129406
11,6572.177323299231,-0.45792919460020504
12,5030.7154068575355,-0.3130064806872692
13,5454.440895094244,-0.6003335454680749
14,3969.5462587422526,-0.3836982509065546
15,3254.837750301017,-0.24524780970168553
16,4988.258278832289,-0.5590227349759262
17,3312.362254684926,-0.40510729585075217
18,6926.013264608495,-0.38725332886636354
19,5395.233402172926,-0.4401743368890461
20,3429.9563746895324,-0.24995699469170923
21,3532.172508754745,-0.39817120257442146
22,4443.618741443201,-0.38762283157021105
23,4187.238589046617,-0.4331986179001076
24,5317.811208080336,-0.37896507622560255
