Sensor,k,alpha
1,1569.4830054618737,-0.17906573513788543
2,1577.8062308684894,-0.2817661652276042
3,2926.8550523096924,-0.2961325204888334
4,2067.873683260393,-0.405689255667951
5,2742.4366937559507,-0.39518231601723736
6,3001.4279455905094,-0.29144655694919874
7,1958.168250743299,-0.31257852021581856
8,1471.3545167754744,-0.14943874173805372
9,1186.3000454276696,-0.18965553194954393
10,2715.305329122948,-0.44284914181499996
11,1278.3285267892118,-0.16819150384703926
12,1361.0000955187795,-0.13881456441379095
13,1809.6589173370821,-0.24257734345104032
14,4895.175067402319,-0.48060982255224627
15,1314.8411176812015,-0.22316918796978796
16,1502.756567802379,-0.15006903121552112
17,1706.4109454797945,-0.19131337611218752
18,1957.6407195258423,-0.16733301205585813
19,2835.9133258019992,-0.17919629644831017
20,1784.596406628903,-0.2569160281289737
21,1560.795990733921,-0.16142993302937983
22,1567.279376736417,-0.19672201479250634
23,2458.6680511826676,-0.10698162519659062
24,1999.0208918150445,-0.19243602892680348
25,1431.8649911969756,-0.12844121545532072
26,1810.0491447262339,-0.23202326485468175
27,1358.2450525447114,-0.153192283538444
28,3564.473153023399,-0.38768111495084095
29,6136.543752577732,-0.6643754245432538
30,1518.1954689448537,-0.2849356287893987
31,1500.717142855642,-0.13905415287676592
32,1495.49380549902,-0.2161514188305035
33,2055.7157229356744,-0.15097233479124217
34,1352.7179658901373,-0.19884001550681407
35,1297.537907670161,-0.11145579567366772
