0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.927557843,,0.310462931,,,,,,,,,,,,,,,,,,,,,,,0.308792414,,,,,,,,,0.308989825
2534.286611,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.960847464,0.365588319,,0.312459531,,0.325674101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404.263075,29110.82166,inf,3394763.686,inf,114084.2842,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.960823839,0.310548636,,,,,,0.309285497,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404.350621,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.924426444,0.343672414,,,,0.325512037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547.244676,49254.21884,inf,inf,inf,115452.6117,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.929885139,,,,,0.327561452,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309233134,0.3114806,
2524.741092,inf,inf,inf,inf,100247.7172,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.791554576,0.3098712,0.310213148,,,0.325119466,0.309029615,,,,,0.309394912,,,,,,,,,,,,,,,,,,,,,,,
3253.018691,inf,inf,inf,inf,118907.2819,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.8389885,,,,,,,0.309168727,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960.216399,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.845326742,,0.310339889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925.036152,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.850857152,0.321071449,0.310022192,,,,,,,,0.337897415,,,,,,,,,,,,,,,0.308926133,,,,,,,,,
2895.015858,171968.1115,inf,inf,inf,inf,inf,inf,inf,inf,60237.67217,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.870006062,0.310919767,,0.312071566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.311873582,
2795.668553,inf,inf,21797979.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500g,3253.018691,3106.617545,3046.090414,3008.321775,2965.791131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kg,2534.286611,2469.274843,2447.633435,2472.536246,2482.977215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
