Sensor,k,alpha
1,5055.643268860199,-0.1505859257569532
2,19276.368825479072,-0.5776293375960305
3,29153.018832161153,-0.7943667217298822
4,5526.494113014713,-0.30660070488001867
5,5646.729342824802,-0.2059092608618931
6,9844.047568587592,-0.2322382280701518
7,7392.312436830098,-0.26935132259061695
8,5191.173357643225,-0.09912078622127136
9,3820.877761674656,-0.13984319480111485
10,6417.605171479379,-0.13487618587774927
11,8151.10413743259,-0.27935312012462754
12,5373.712727822391,-0.19846545027548196
13,8352.619260709002,-0.2332082605680777
14,8157.693372213171,-0.21991633176220324
15,11277.842423468932,-0.5212727498413676
16,12137.215582857729,-0.49119645610151774
17,39508.525025333925,-0.9365198378195465
18,7877.594491034767,-0.4225049772918777
19,33297.15705543644,-0.7302642754912394
20,24029.95091003886,-0.6294536244194374
21,4789.578769482766,-0.17550669742400257
22,23768.40845008542,-0.6648539833242915
23,12352.569808438897,-0.1673820647272205
24,98545.84330740442,-1.1260736502360547
25,18308.225207451123,-0.6133449613071892
26,12892.405266542106,-0.4569020476280813
27,17363.125114892337,-0.3529049692332393
28,11863.829791102251,-0.16559677470957762
29,4795.723031001941,-0.07241060060026738
30,17920.714766987665,-0.35147972831613045
31,5609.206830585786,-0.021611599023270027
32,46180.156718203085,-0.4980232070524018
33,21424.1973718955,-0.2336110278752155
34,14041.208277438678,-0.30357248651679125
35,10673.767618018479,-0.31153032616409015
