Sensor,k,alpha
1,3795.9119604406237,-0.08242441312122269
2,10583.516573038067,-0.42365877905246274
3,6162.474707058776,-0.11597019544066695
4,3545.1336638646862,-0.2206170344675875
5,2711.3867542125554,-0.1731501343619766
6,8415.119044118832,-0.2654542520946995
7,4834.6970867267255,-0.2976826761598459
8,6304.965480622696,-0.20479441353033187
9,3391.0140717908507,-0.24620695513722152
10,5197.3334170382,-0.1937580602260726
11,5381.228137361498,-0.21544170445050065
12,5087.672886515299,-0.29339733909428295
13,17672.84340853386,-0.5742948552753698
14,5661.287889735132,-0.14110834026337354
15,9279.56822766913,-0.46348071893191617
16,6229.32703136276,-0.1530837590979501
17,7659.525695962193,-0.3444825913046429
18,27101.94180955909,-0.7036338566361546
19,24744.761417390848,-0.6117798478210883
20,4417.693335025413,-0.2047054633865244
21,5848.020277289329,-0.2753847560208108
22,7436.076334450214,-0.4864425202518451
23,12442.534294358325,-0.35265352256915633
24,56313.60207536126,-1.0383849369951637
25,7908.974671056214,-0.16447558700791845
26,3878.8135441555887,-0.1867779250313625
27,10122.139563477767,-0.15843244445111768
28,4612.635721640872,-0.12649949454012144
29,7954.5147629756175,-0.3564541112763417
30,4866.245477058008,-0.33809614607813815
31,3682.2602403371993,-0.1304517405585179
32,6112.451659080096,-0.0835985290720736
33,8317.762808154592,-0.3750291670348642
34,15024.80432157238,-0.40668160160886485
35,4430.574810786838,-0.2293855935528201
