Sensor,k,alpha
1,4993.577969639366,-0.16391155388891113
2,6634.206442764252,-0.20047690116019357
3,5753.750304571253,-0.15675683554584974
4,4922.55737208889,-0.24026459849875584
5,5556.146972731657,-0.3137347166121917
6,6314.282486607673,-0.1387572782670892
7,5423.40052406876,-0.17541075040677492
8,5493.400303364914,-0.1237445094501898
9,7692.751840454558,-0.24150040885460186
10,5810.655472535018,-0.13688590001484788
11,5021.512122461337,-0.10303295870770275
12,4466.920557625545,-0.15677268171210362
13,8138.855904327974,-0.3452699553987463
14,7865.150136138401,-0.3020697253134588
15,4557.815668312073,-0.23925114937665365
16,7835.102779839903,-0.07102504383707421
17,6265.321291296316,-0.13494989827032128
18,5755.781391374309,-0.1334218768643197
19,181967.2581939095,-1.07794595618637
20,4689.545073942152,-0.005919135072638618
21,3676.3962016595183,-0.012173759847904347
22,4171.438445272176,-0.017014851517299884
23,9907.910233507635,-0.1754132903805203
24,16042.912917308193,-0.4817977119291388
25,10168.252240377087,-0.2489822569877307
26,5372.0602252192475,-0.06310867607680644
27,5840.154127612581,-0.2416323772621115
28,5655.588909735302,-0.23918426044187896
29,7414.177581316702,-0.23938628204290982
30,4391.717684590624,-0.125691008999765
31,10464.151219592568,-0.35460426617813345
32,7010.018436327321,-0.28271971721723743
33,8368.054056554489,-0.2594780868813218
34,9347.824725935832,-0.3049152819591571
35,6891.094478517122,-0.22024783544883744
