Sensor,k,alpha
0,4827.680202761075,-0.39888604215957024
1,8149.469466502525,-0.5305689747726333
2,5029.354651372528,-0.4288755154722
3,4315.149183996498,-0.26329489827005526
4,2883.155908405452,-0.31082603124917224
5,11378.234461872868,-0.7850034706633608
6,4873.136149082593,-0.4031044015993394
7,17897.002029751813,-1.0368575509109883
8,2896.167624667972,-0.44746776201602195
9,6966.020398478361,-0.4711282180690672
10,3272.692389697329,-0.2340150933744002
11,7253.4497237599735,-0.3126586784183072
12,4467.775660168942,-0.366321141464338
13,11404.638376661875,-0.7788260720574878
14,2456.0765394146088,0.47527941118429207
15,3428.364447041247,-0.3074869716807235
16,11767.747630685275,-1.0308491267470123
17,4264.293630909996,-0.4047854350336645
18,11182.267972540298,-0.5739196186237374
19,40637.494044361156,-0.7827452891089013
20,5873.927146700655,-0.3776583245215257
21,33799.135371154516,-1.1629562938487177
22,14894.520998274307,-0.522142027043705
23,15523.685242617634,-0.03606588814449955
24,39747.53537234558,-1.061847751749969
25,95342.84563256131,-0.6163548116220628
26,9542.374529127928,-0.5464781376354716
27,3769.1673828119974,0.14765536448225702
28,812075.074705482,-1.809672122567557
29,19585.750832367332,-0.18308478861740857
30,60053.16434173823,-0.6858363634870194
31,43701.39354957765,-1.3899285681981723
32,42082.60904927168,-0.6229365394472844
33,27980.003220114944,0.471710800081252
34,7665.834941542916,-0.3805164467927729
