Sensor,k,alpha
0,4555.038179290326,-0.36253034984660765
1,4454.804398674176,-0.15284794623370035
2,3650.5905901651504,-0.22849650903732666
3,4207.564998137565,-0.24750498994445994
4,2432.394285833742,-0.20450259170944085
5,5408.402291892147,-0.31986510644866756
6,4874.998748596374,-0.40334339394172924
7,7100.372704645855,-0.45868650383270376
8,1775.365120999086,-0.1414094040242246
9,4842.907627017219,-0.2437782667819248
10,2526.629653210062,-0.07220807503987822
11,5884.500384484329,-0.18185348565755394
12,2960.3609450385675,-0.10892043688547424
13,4057.3545810837018,-0.13248482028387684
14,24694.753423044258,-0.9681536827940362
15,2326.759353957202,-0.06507868127464222
16,2747.489348721652,-0.12109924597805713
17,1752.356117227186,0.15138999607553272
18,4318.488882504075,0.021098271592329333
19,14507.340028963956,-0.13856325838408645
20,2960.552154182184,0.05083118771876203
21,7001.411422987035,-0.17837858831918713
22,12277.460275660915,-0.40129753477825786
23,39038.507786406095,-0.6127958084884556
24,17970.55377684667,-0.56539901323717
25,24801.666612185232,0.22578551178423983
26,5317.393370969222,-0.18077132569845997
27,7878.081850833113,-0.3134065236203886
28,25015.27891360324,0.36677691311796673
29,35398.59154228748,-0.5532385430129739
30,13030.61070708678,0.2697263589278967
31,4857.260591133738,-0.015989788683578664
32,17221.259928845666,-0.06415032863643177
33,463790.8099979124,-1.284369613237764
34,8507.656996919417,-0.4456785629985788
