"// DN: 108, SN: 35"
Timestamp,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,Mag_x,Mag_y,Mag_z,Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z
1723023922.841,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,0.0,0.0,0.0,-0.0321044921875,-0.0330810546875,-1.0023193359375
1723023922.851,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,0.0610351525247097,0.0,0.0,-0.0323486328125,-0.033935546875,-1.0018310546875
1723023922.861,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,0.0610351525247097,0.0,0.0,-0.0330810546875,-0.0340576171875,-1.0030517578125
1723023922.871,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,0.0610351525247097,-0.0610351525247097,0.0,-0.0335693359375,-0.03369140625,-1.0037841796875
1723023922.881,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,-0.0610351525247097,-0.0610351525247097,0.0,-0.0321044921875,-0.0335693359375,-1.0030517578125
1723023922.891,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,-0.1831054538488388,-0.0610351525247097,0.0,-0.0313720703125,-0.033447265625,-1.0029296875
1723023922.901,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,-0.30517578125,0.0,0.0,-0.0322265625,-0.0333251953125,-1.00244140625
1723023922.911,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,-0.1831054538488388,-0.0610351525247097,0.0,-0.03271484375,-0.0328369140625,-1.0013427734375
1723023922.921,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1559999.9999999986,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,0.0610351525247097,0.0,0.0,-0.0330810546875,-0.03271484375,-1.002197265625
1723023922.931,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,-1.0,-24.0,0.30517578125,-0.0610351525247097,0.0,-0.033447265625,-0.0330810546875,-1.003662109375
1723023922.941,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,0.30517578125,-0.0610351525247097,0.0,-0.033203125,-0.0338134765625,-1.003173828125
1723023922.951,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,0.0610351525247097,-0.0610351525247097,0.0,-0.031982421875,-0.033935546875,-1.0025634765625
1723023922.961,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1559999.9999999986,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,-0.30517578125,-0.0610351525247097,0.0,-0.031982421875,-0.033203125,-1.00341796875
1723023922.971,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,-0.4272460639476776,-0.0610351525247097,0.0,-0.0330810546875,-0.03271484375,-1.005126953125
1723023922.981,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,-0.30517578125,0.0,0.0,-0.03271484375,-0.0323486328125,-1.005615234375
1723023922.991,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,0.0,0.0,0.0610351525247097,-0.0323486328125,-0.0322265625,-1.0040283203125
1723023923.001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,0.2441406100988388,-0.0610351525247097,0.0610351525247097,-0.0323486328125,-0.0323486328125,-1.00244140625
1723023923.011,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,0.2441406100988388,-0.0610351525247097,0.0610351525247097,-0.0318603515625,-0.0330810546875,-1.002197265625
1723023923.021,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,0.0610351525247097,-0.0610351525247097,0.0,-0.0322265625,-0.0338134765625,-1.0035400390625
1723023923.031,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.0,1.0,-25.0,-0.1220703050494194,-0.0610351525247097,0.0,-0.0325927734375,-0.0335693359375,-1.00390625
1723023923.041,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,-0.1831054538488388,0.0,0.0,-0.0322265625,-0.03271484375,-1.0029296875
1723023923.051,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,-0.1220703050494194,-0.0610351525247097,0.0,-0.0318603515625,-0.032470703125,-1.00341796875
1723023923.061,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,0.0610351525247097,-0.1220703050494194,0.0610351525247097,-0.0318603515625,-0.0328369140625,-1.003662109375
1723023923.071,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,0.1220703050494194,-0.1220703050494194,0.0610351525247097,-0.031982421875,-0.0333251953125,-1.003173828125
1723023923.081,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,0.1220703050494194,-0.1220703050494194,0.0610351525247097,-0.0322265625,-0.033447265625,-1.00341796875
1723023923.091,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,0.0,-0.1220703050494194,0.0610351525247097,-0.0325927734375,-0.033447265625,-1.003173828125
1723023923.101,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,-0.1220703050494194,-0.1220703050494194,0.0,-0.0321044921875,-0.0330810546875,-1.0023193359375
1723023923.121,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,519999.99999999953,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32.0,0.0,-29.0,-0.0610351525247097,-0.0610351525247097,0.0,-0.0308837890625,-0.032958984375,-1.0030517578125
